TIC ID,TIC,TOI,Telescope,Camera,Filter,Pixel Scale,PSF,Phot Aperture Rad,Obs Date,Obs Duration,Num Obs,Obs Type,Transit Coverage,Delta Mag,User,Group,Tag,Notes
254113311,,TOI 1130.02,PEST (0.305 m),ST-8XME,Rc,1.23,4.48,7.0,2020-03-30,230.0,184,Continuous,Full,8.3,tan,tfopwg,18493,
254113311,,TOI 1130.02,LCO-SSO-1.0m (1.0 m),"Sinistro, 1.0m",zs,0.389,1.8,9.0,2020-03-30,177.0,167,Continuous,Full,9.8,stockdale,tfopwg,18598,
254113311,,TOI 1130.02,LCO-SSO (1.0 m),Sinistro,zs,0.39,2.44,13.0,2020-05-14,205.0,192,Continuous,Full,7.36,schwarz,tfopwg,19121,
254113311,,TOI 1130.02,LCO-SSO-1m0 (1.0 m),SINISTRO,zs,0.389,2.1,6.0,2020-05-14,249.0,235,Continuous,Full,7.3,conti,tfopwg,19188,
254113311,,TOI 1130.02,LCO-SAAO-1m0 (1.0 m),SINISTRO,zs,0.389,1.81,15.0,2020-06-07,272.0,260,Continuous,Full,,collins,tfopwg,19442,nominal .02 with overlapping .01
254113311,,TOI 1130.01,LCO-SAAO-1m0 (1.0 m),SINISTRO,zs,0.389,2.24,15.0,2020-06-07,234.0,225,Continuous,Full,,collins,tfopwg,19441,late ephem for .02 with overlapping full .01
254113311,,TOI 1130.02,PEST (0.305 m),ST-8XME,Rc,1.23,5.09,8.0,2020-05-22,428.0,338,Continuous,Full,8.0,tan,tfopwg,19261,
254113311,,TOI 1130.02,LCO-SAAO (1.0 m),Sinistro,zs,0.39,1.84,10.0,2020-05-30,275.0,262,Continuous,Full,,schwarz,tfopwg,19319,
254113311,,TOI 1130.02,LCO-SSO-1m0 (1.0 m),SINISTRO,zs,0.389,1.8,15.0,2020-05-30,271.0,261,Continuous,Full,,collins,tfopwg,19429,Alternate Reduction of tag 19319 with 15px aperture
254113311,,TOI 1130.02,LCO-SAAO-1m0 (1.0 m),SINISTRO,zs,0.389,1.97,15.0,2020-06-07,183.0,175,Continuous,Egress,,collins,tfopwg,19442,3 hour early ephem for .02
